Port-level Imports,,,,
Current date: 10/04/2024 4:52 PM (Eastern Daylight Time),,,,
Port,Commodity,Time,Country,Customs Value (Gen) ($US)
Total All Ports,01 Live Animals,2003,Vietnam,"4,252,426"
Total All Ports,01 Live Animals,2004,Vietnam,"4,044,064"
Total All Ports,01 Live Animals,2005,Vietnam,"7,126,156"
Total All Ports,01 Live Animals,2006,Vietnam,"7,857,064"
Total All Ports,01 Live Animals,2007,Vietnam,"6,825,357"
Total All Ports,01 Live Animals,2008,Vietnam,"3,750,378"
Total All Ports,01 Live Animals,2009,Vietnam,"6,643,975"
Total All Ports,01 Live Animals,2010,Vietnam,"3,450,015"
Total All Ports,01 Live Animals,2011,Vietnam,"1,294,647"
Total All Ports,01 Live Animals,2012,Vietnam,"2,814,132"
Total All Ports,01 Live Animals,2013,Vietnam,"3,673,969"
Total All Ports,01 Live Animals,2014,Vietnam,"2,016,670"
Total All Ports,01 Live Animals,2015,Vietnam,"3,083,380"
Total All Ports,01 Live Animals,2016,Vietnam,"969,528"
Total All Ports,01 Live Animals,2017,Vietnam,"1,010,017"
Total All Ports,01 Live Animals,2018,Vietnam,"1,766,241"
Total All Ports,01 Live Animals,2019,Vietnam,"1,740,026"
Total All Ports,01 Live Animals,2020,Vietnam,"1,805,911"
Total All Ports,01 Live Animals,2021,Vietnam,"8,082,948"
Total All Ports,01 Live Animals,2022,Vietnam,"10,454,531"
Total All Ports,01 Live Animals,2023,Vietnam,"45,538,454"
Total All Ports,01 Live Animals,2024 through July,Vietnam,"24,470,364"
Total All Ports,02 Meat And Edible Meat Offal,2003,Vietnam,"1,508,913"
Total All Ports,02 Meat And Edible Meat Offal,2004,Vietnam,"901,036"
Total All Ports,02 Meat And Edible Meat Offal,2005,Vietnam,"1,097,509"
Total All Ports,02 Meat And Edible Meat Offal,2006,Vietnam,"620,499"
Total All Ports,02 Meat And Edible Meat Offal,2007,Vietnam,"487,861"
Total All Ports,02 Meat And Edible Meat Offal,2008,Vietnam,"380,660"
Total All Ports,02 Meat And Edible Meat Offal,2009,Vietnam,"149,617"
Total All Ports,02 Meat And Edible Meat Offal,2010,Vietnam,"155,833"
Total All Ports,02 Meat And Edible Meat Offal,2011,Vietnam,"370,949"
