Port-level Imports,,,,
Current date: 10/04/2024 4:34 PM (Eastern Daylight Time),,,,
Port,Commodity,Time,Country,Customs Value (Gen) ($US)
"Seattle, WA (Port)",02 Meat And Edible Meat Offal,2004,Vietnam,"5,124"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2003,Vietnam,"2,641,173"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2004,Vietnam,"4,416,042"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2005,Vietnam,"4,422,097"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2006,Vietnam,"4,464,972"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2007,Vietnam,"3,582,132"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2008,Vietnam,"5,814,926"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2009,Vietnam,"2,155,663"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2010,Vietnam,"6,193,078"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2011,Vietnam,"10,353,912"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2012,Vietnam,"8,216,665"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2013,Vietnam,"10,719,541"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2014,Vietnam,"12,768,280"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2015,Vietnam,"11,385,244"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2016,Vietnam,"10,653,471"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2017,Vietnam,"7,770,261"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2018,Vietnam,"9,667,640"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2019,Vietnam,"7,536,363"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2020,Vietnam,"10,885,757"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2021,Vietnam,"6,191,166"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2022,Vietnam,"14,717,423"
"Seattle, WA (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",2023,Vietnam,"7,794,984"
